"REPORTINGPRODUCTGROUP","COUNTRY","REPORTINGCHANNEL","Period","Item","BRAND","REGION","BRIDGESTONE TYPE","DIMENSION (Truck Tyres)","RIMDIAMET.'/MM","WIDTH IN INCH","WIDTH IN MM","ASPECT RATIO","TUBE / TUBLESS","LOADINDEX","SPEEDINDEX","FirstActivity","SALES UNITS","SALES <LC>","PRICE TWD/UN."
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","668","CONSTANCY","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","156","L (-120KM)","NOVEMBER 2016",26.07311480,242479.96764000,9300.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","A876","JOYALL","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","UNKNOWN","315","80","TL","154","M (-130KM)","SEPTEMBER 2020",10.66666667,93866.66666666,8800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","AGILIS","MICHELIN","CENTRAL TAIWAN","LSR2","8.25/16","16'","8.25","N.A.","N.A.","TL","128","L (-120KM)","OCTOBER 2016",49.58226946,337193.18049791,6800.68065050
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","AGILIS","MICHELIN","NORTH TAIWAN","LSR2","8.25/16","16'","8.25","N.A.","N.A.","TL","128","L (-120KM)","OCTOBER 2016",81.38724000,553433.23200000,6800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","AL 01","TONOVA","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","157","L (-120KM)","SEPTEMBER 2021",5.19252710,36347.68970000,7000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","AR780","ALLROUND","CENTRAL TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","152","L (-120KM)","JULY 2017",2.60731148,24247.99676400,9300.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","AT103","AUSTONE","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","UNKNOWN","315","80","TL","154","M (-130KM)","NOVEMBER 2020",118.50000300,1007250.02550000,8500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","AT121","AUSTONE","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","UNKNOWN","315","80","TL","154","L (-120KM)","OCTOBER 2020",39.50000100,355500.00900000,9000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","BF600","BEFRIEND","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","80","315","80","TL","UNKNOWN","UNKNOWN","MAY 2017",104.29245920,730047.21440000,7000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","FEB22","BF602","BEFRIEND","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","J (-100KM)","APRIL 2017",40.50907667,344327.15166670,8500.00000000
