Date,Price,Open,High,Low,Vol.,Change %,Type
03/01/2023,2579.0,2579.0,2579.0,2579.0,,0.00%,Coking Coal
02/28/2023,2579.0,2925.0,2940.5,2174.0,0.01K,+0.86%,Coking Coal
02/27/2023,2557.0,2557.0,2557.0,2557.0,0.00K,-14.99%,Coking Coal
02/24/2023,3008.0,3008.0,3008.0,3008.0,0.00K,0.00%,Coking Coal
02/23/2023,3008.0,3008.0,3008.0,3008.0,0.00K,+5.03%,Coking Coal
02/22/2023,2864.0,2898.0,2898.0,2830.0,0.00K,+13.65%,Coking Coal
02/21/2023,2520.0,2520.0,2520.0,2520.0,,0.00%,Coking Coal
02/20/2023,2520.0,2520.0,2520.0,2520.0,,+4.78%,Coking Coal
02/17/2023,2405.0,2405.0,2405.0,2405.0,,0.00%,Coking Coal
02/16/2023,2405.0,2405.0,2405.0,2405.0,0.00K,+1.84%,Coking Coal
02/15/2023,2361.5,2361.5,2361.5,2361.5,,-11.44%,Coking Coal
02/14/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/13/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/10/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/09/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/08/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/07/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/06/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/03/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/02/2023,2666.5,2666.5,2666.5,2666.5,,0.00%,Coking Coal
02/01/2023,"2,666.50","2,666.50","2,666.50","2,666.50",,0.00%,Coking Coal
01/31/2023,"2,666.50","2,699.50","2,778.50","2,410.50",0.01K,-0.49%,Coking Coal
01/30/2023,"2,679.50","2,679.50","2,679.50","2,679.50",0.00K,8.26%,Coking Coal
01/20/2023,"2,475.00","2,475.00","2,475.00","2,475.00",0.00K,0.47%,Coking Coal
01/19/2023,"2,463.50","2,463.50","2,463.50","2,463.50",0.00K,-0.71%,Coking Coal
01/18/2023,"2,481.00","2,481.00","2,481.00","2,481.00",,2.04%,Coking Coal
01/17/2023,"2,431.50","2,370.00","2,463.00","2,370.00",0.00K,-5.44%,Coking Coal
01/16/2023,"2,571.50","2,610.00","2,610.00","2,610.00",0.11K,-0.29%,Coking Coal
01/13/2023,"2,579.00","2,540.00","2,582.00","2,540.00",0.12K,1.78%,Coking Coal
01/12/2023,"2,534.00","2,525.00","2,543.00","2,525.00",0.01K,0.46%,Coking Coal
01/11/2023,"2,522.50","2,520.00","2,525.50","2,520.00",0.01K,0.20%,Coking Coal
01/10/2023,"2,517.50","2,511.00","2,521.50","2,511.00",0.02K,0.96%,Coking Coal
01/09/2023,"2,493.50","2,477.00","2,506.50","2,477.00",0.00K,1.22%,Coking Coal
01/06/2023,"2,463.50","2,463.50","2,463.50","2,463.50",0.00K,-2.09%,Coking Coal
