Date,Price,Open,High,Low,Vol.,Change %,Type
03/01/2023,126.73,126.73,126.73,126.73,,+2.13%,Iron Ore Fines 62%
02/28/2023,124.09,125.75,125.75,124.09,,-1.37%,Iron Ore Fines 62%
02/27/2023,125.81,125.81,125.81,125.81,,-0.25%,Iron Ore Fines 62%
02/24/2023,126.13,126.13,126.13,126.13,,-0.50%,Iron Ore Fines 62%
02/23/2023,126.76,126.76,126.76,126.76,,-0.06%,Iron Ore Fines 62%
02/22/2023,126.84,126.84,126.84,126.84,,-0.14%,Iron Ore Fines 62%
02/21/2023,127.02,127.02,127.02,127.02,,+0.66%,Iron Ore Fines 62%
02/20/2023,126.19,126.19,126.19,126.19,,+0.51%,Iron Ore Fines 62%
02/17/2023,125.55,125.55,125.55,125.55,,+0.56%,Iron Ore Fines 62%
02/16/2023,124.85,124.85,124.85,124.85,,+0.35%,Iron Ore Fines 62%
02/15/2023,124.42,124.42,124.42,124.42,,+0.30%,Iron Ore Fines 62%
02/14/2023,124.05,124.05,124.05,124.05,,+0.86%,Iron Ore Fines 62%
02/13/2023,122.99,122.99,122.99,122.99,,-1.91%,Iron Ore Fines 62%
02/10/2023,125.38,125.38,125.38,125.38,,+0.57%,Iron Ore Fines 62%
02/09/2023,124.67,124.67,124.67,124.67,,+1.61%,Iron Ore Fines 62%
02/08/2023,122.7,122.7,122.7,122.7,,+0.35%,Iron Ore Fines 62%
02/07/2023,122.27,122.27,122.27,122.27,,-1.59%,Iron Ore Fines 62%
02/06/2023,124.25,124.25,124.25,124.25,,-1.04%,Iron Ore Fines 62%
02/03/2023,125.56,125.56,125.56,125.56,,+0.74%,Iron Ore Fines 62%
02/02/2023,124.64,124.64,124.64,124.64,,-1.39%,Iron Ore Fines 62%
02/01/2023,126.4,126.4,126.4,126.4,,-1.13%,Iron Ore Fines 62%
01/31/2023,127.85,123.37,127.85,123.37,,3.57%,Iron Ore Fines 62%
01/30/2023,123.44,123.44,123.44,123.44,,-0.60%,Iron Ore Fines 62%
01/27/2023,124.19,124.19,124.19,124.19,,0.99%,Iron Ore Fines 62%
01/26/2023,122.97,122.97,122.97,122.97,,0.12%,Iron Ore Fines 62%
01/25/2023,122.82,122.82,122.82,122.82,,-0.15%,Iron Ore Fines 62%
01/24/2023,123.01,123.01,123.01,123.01,,-0.18%,Iron Ore Fines 62%
01/23/2023,123.23,123.23,123.23,123.23,,0.12%,Iron Ore Fines 62%
01/20/2023,123.08,123.08,123.08,123.08,,0.68%,Iron Ore Fines 62%
01/19/2023,122.25,122.25,122.25,122.25,,0.73%,Iron Ore Fines 62%
01/18/2023,121.37,121.37,121.37,121.37,,0.29%,Iron Ore Fines 62%
01/17/2023,121.02,121.02,121.02,121.02,,0.42%,Iron Ore Fines 62%
01/16/2023,120.51,120.51,120.51,120.51,,-2.49%,Iron Ore Fines 62%
01/13/2023,123.59,123.59,123.59,123.59,,1.28%,Iron Ore Fines 62%
01/12/2023,122.03,122.03,122.03,122.03,,0.44%,Iron Ore Fines 62%
01/11/2023,121.5,121.5,121.5,121.5,,1.25%,Iron Ore Fines 62%
01/10/2023,120.0,120.0,120.0,120.0,,1.67%,Iron Ore Fines 62%
01/09/2023,118.03,118.03,118.03,118.03,,-0.55%,Iron Ore Fines 62%
01/06/2023,118.68,118.68,118.68,118.68,,2.13%,Iron Ore Fines 62%
01/05/2023,116.2,116.2,116.2,116.2,,0.13%,Iron Ore Fines 62%
01/04/2023,116.05,116.05,116.05,116.05,,-0.93%,Iron Ore Fines 62%
01/03/2023,117.14,117.14,117.14,117.14,,-0.01%,Iron Ore Fines 62%
12/30/2022,117.15,111.28,117.15,111.28,,5.40%,Iron Ore Fines 62%
12/29/2022,111.15,111.15,111.15,111.15,,-0.14%,Iron Ore Fines 62%
12/28/2022,111.31,111.31,111.31,111.31,,0.05%,Iron Ore Fines 62%
12/27/2022,111.25,111.25,111.25,111.25,,0.35%,Iron Ore Fines 62%
12/26/2022,110.86,110.86,110.86,110.86,,0.00%,Iron Ore Fines 62%
12/23/2022,110.86,110.86,110.86,110.86,,-0.06%,Iron Ore Fines 62%
12/22/2022,110.93,110.93,110.93,110.93,,-0.02%,Iron Ore Fines 62%
12/21/2022,110.95,110.95,110.95,110.95,,0.75%,Iron Ore Fines 62%
12/20/2022,110.12,110.12,110.12,110.12,,0.60%,Iron Ore Fines 62%
12/19/2022,109.46,109.46,109.46,109.46,,-1.45%,Iron Ore Fines 62%
12/16/2022,111.07,111.07,111.07,111.07,,-0.09%,Iron Ore Fines 62%
12/15/2022,111.17,111.17,111.17,111.17,,1.64%,Iron Ore Fines 62%
12/14/2022,109.38,109.38,109.38,109.38,,-0.03%,Iron Ore Fines 62%
12/13/2022,109.41,109.41,109.41,109.41,,-0.14%,Iron Ore Fines 62%
12/12/2022,109.56,109.56,109.56,109.56,,-1.55%,Iron Ore Fines 62%
12/09/2022,111.28,111.28,111.28,111.28,,1.89%,Iron Ore Fines 62%
12/08/2022,109.22,109.22,109.22,109.22,,2.35%,Iron Ore Fines 62%
12/07/2022,106.71,106.71,106.71,106.71,,-1.57%,Iron Ore Fines 62%
12/06/2022,108.41,108.41,108.41,108.41,,-0.29%,Iron Ore Fines 62%
12/05/2022,108.72,108.72,108.72,108.72,,2.00%,Iron Ore Fines 62%
12/02/2022,106.59,106.59,106.59,106.59,,3.55%,Iron Ore Fines 62%
12/01/2022,102.94,102.94,102.94,102.94,,2.23%,Iron Ore Fines 62%
11/30/2022,100.69,93.25,100.69,93.25,,7.96%,Iron Ore Fines 62%
11/29/2022,93.27,93.27,93.27,93.27,,0.28%,Iron Ore Fines 62%
11/28/2022,93.01,93.01,93.01,93.01,,-0.05%,Iron Ore Fines 62%
11/25/2022,93.06,93.06,93.06,93.06,,0.59%,Iron Ore Fines 62%
11/24/2022,92.51,92.51,92.51,92.51,,0.09%,Iron Ore Fines 62%
11/23/2022,92.43,92.43,92.43,92.43,,0.27%,Iron Ore Fines 62%
11/22/2022,92.18,92.18,92.18,92.18,,-0.63%,Iron Ore Fines 62%
11/21/2022,92.76,92.76,92.76,92.76,,-1.21%,Iron Ore Fines 62%
11/18/2022,93.9,93.9,93.9,93.9,,0.68%,Iron Ore Fines 62%
11/17/2022,93.27,93.27,93.27,93.27,,-0.17%,Iron Ore Fines 62%
11/16/2022,93.43,93.43,93.43,93.43,,1.06%,Iron Ore Fines 62%
11/15/2022,92.45,92.45,92.45,92.45,,0.94%,Iron Ore Fines 62%
11/14/2022,91.59,91.59,91.59,91.59,,1.24%,Iron Ore Fines 62%
11/11/2022,90.47,90.47,90.47,90.47,,3.70%,Iron Ore Fines 62%
11/10/2022,87.24,87.24,87.24,87.24,,-1.62%,Iron Ore Fines 62%
11/09/2022,88.68,88.68,88.68,88.68,,0.35%,Iron Ore Fines 62%
11/08/2022,88.37,88.37,88.37,88.37,,1.56%,Iron Ore Fines 62%
11/07/2022,87.01,86.97,87.01,86.97,,4.43%,Iron Ore Fines 62%
11/03/2022,83.32,83.32,83.32,83.32,,1.46%,Iron Ore Fines 62%
11/02/2022,82.12,82.12,82.12,82.12,,2.92%,Iron Ore Fines 62%
11/01/2022,79.79,79.79,79.79,79.79,,1.55%,Iron Ore Fines 62%
10/31/2022,78.57,92.43,92.43,78.57,,-15.14%,Iron Ore Fines 62%
10/28/2022,92.59,92.59,92.59,92.59,,-0.32%,Iron Ore Fines 62%
10/27/2022,92.89,92.89,92.89,92.89,,-0.62%,Iron Ore Fines 62%
10/26/2022,93.47,93.47,93.47,93.47,,-0.44%,Iron Ore Fines 62%
10/25/2022,93.88,93.88,93.88,93.88,,-0.60%,Iron Ore Fines 62%
10/24/2022,94.45,94.45,94.45,94.45,,0.00%,Iron Ore Fines 62%
10/21/2022,94.45,94.45,94.45,94.45,,0.47%,Iron Ore Fines 62%
10/20/2022,94.01,94.01,94.01,94.01,,-0.93%,Iron Ore Fines 62%
10/19/2022,94.89,94.89,94.89,94.89,,-0.13%,Iron Ore Fines 62%
10/18/2022,95.01,95.01,95.01,95.01,,0.43%,Iron Ore Fines 62%
10/17/2022,94.6,94.6,94.6,94.6,,-1.22%,Iron Ore Fines 62%
10/14/2022,95.77,95.77,95.77,95.77,,0.92%,Iron Ore Fines 62%
10/13/2022,94.9,94.9,94.9,94.9,,-1.18%,Iron Ore Fines 62%
10/12/2022,96.03,96.03,96.03,96.03,,-0.46%,Iron Ore Fines 62%
10/11/2022,96.47,96.47,96.47,96.47,,-1.64%,Iron Ore Fines 62%
10/10/2022,98.08,98.08,98.08,98.08,,2.62%,Iron Ore Fines 62%
10/07/2022,95.58,95.58,95.58,95.58,,-0.13%,Iron Ore Fines 62%
10/06/2022,95.7,95.7,95.7,95.7,,0.58%,Iron Ore Fines 62%
10/05/2022,95.15,95.15,95.15,95.15,,0.16%,Iron Ore Fines 62%
10/04/2022,95.0,95.0,95.0,95.0,,1.39%,Iron Ore Fines 62%
10/03/2022,93.7,93.7,93.7,93.7,,-1.84%,Iron Ore Fines 62%
09/30/2022,95.46,98.31,98.31,95.46,,-2.94%,Iron Ore Fines 62%
09/29/2022,98.35,98.35,98.35,98.35,,0.14%,Iron Ore Fines 62%
09/28/2022,98.21,98.21,98.21,98.21,,-0.41%,Iron Ore Fines 62%
09/27/2022,98.61,98.61,98.61,98.61,,0.18%,Iron Ore Fines 62%
09/26/2022,98.43,98.43,98.43,98.43,,-0.49%,Iron Ore Fines 62%
09/23/2022,98.91,98.91,98.91,98.91,,-0.05%,Iron Ore Fines 62%
09/22/2022,98.96,98.96,98.96,98.96,,0.88%,Iron Ore Fines 62%
09/21/2022,98.1,98.1,98.1,98.1,,-0.23%,Iron Ore Fines 62%
09/20/2022,98.33,98.33,98.33,98.33,,-0.30%,Iron Ore Fines 62%
09/19/2022,98.63,98.63,98.63,98.63,,-0.43%,Iron Ore Fines 62%
09/16/2022,99.06,99.06,99.06,99.06,,-1.51%,Iron Ore Fines 62%
09/15/2022,100.58,100.58,100.58,100.58,,0.07%,Iron Ore Fines 62%
09/14/2022,100.51,100.51,100.51,100.51,,-1.59%,Iron Ore Fines 62%
09/13/2022,102.13,102.13,102.13,102.13,,0.51%,Iron Ore Fines 62%
