Date,Price,Open,High,Low,Vol.,Change %,Type
03/01/2023,143.85,146.5,146.5,144.0,0.09K,-1.41%,Rotterdam Coal
02/28/2023,145.9,151.9,151.9,144.5,0.09K,-1.52%,Rotterdam Coal
02/27/2023,148.15,153.0,156.0,149.0,0.25K,+7.43%,Rotterdam Coal
02/24/2023,137.9,156.0,156.0,156.0,,-0.79%,Rotterdam Coal
02/23/2023,139.0,139.0,139.0,139.0,0.01K,+1.35%,Rotterdam Coal
02/22/2023,137.15,136.5,136.5,136.5,0.06K,+0.11%,Rotterdam Coal
02/21/2023,137.0,137.0,137.0,137.0,0.01K,+0.37%,Rotterdam Coal
02/17/2023,136.5,136.5,136.5,136.5,0.01K,-0.36%,Rotterdam Coal
02/16/2023,137.0,136.5,137.0,136.5,0.01K,+0.37%,Rotterdam Coal
02/15/2023,136.5,134.5,136.75,134.5,0.03K,+1.87%,Rotterdam Coal
02/14/2023,134.0,134.0,134.0,134.0,0.01K,+1.52%,Rotterdam Coal
02/13/2023,132.0,132.0,132.0,132.0,0.09K,0.00%,Rotterdam Coal
02/10/2023,132.0,129.0,131.0,129.0,0.22K,+3.13%,Rotterdam Coal
02/09/2023,128.0,128.0,128.0,128.0,0.03K,-1.27%,Rotterdam Coal
02/08/2023,129.65,129.65,129.65,129.65,0.07K,-4.67%,Rotterdam Coal
02/07/2023,136.0,141.0,141.0,138.7,0.02K,-2.33%,Rotterdam Coal
02/06/2023,139.25,138.0,139.5,138.0,0.04K,+0.54%,Rotterdam Coal
02/03/2023,138.5,137.0,137.0,137.0,0.05K,+1.21%,Rotterdam Coal
02/02/2023,136.85,137.0,137.0,136.0,0.01K,-3.69%,Rotterdam Coal
02/01/2023,142.1,142.5,143.0,141.5,0.12K,3.99%,Rotterdam Coal
01/31/2023,136.65,142.0,143.0,132.0,0.09K,-1.69%,Rotterdam Coal
01/30/2023,139.0,140.0,141.5,138.0,0.08K,-16.84%,Rotterdam Coal
01/27/2023,167.15,166.5,166.5,166.5,0.00K,0.45%,Rotterdam Coal
01/26/2023,166.4,168.0,168.0,166.0,0.00K,-0.21%,Rotterdam Coal
01/25/2023,166.75,169.0,169.0,165.0,0.05K,-1.91%,Rotterdam Coal
01/24/2023,170.0,170.0,170.0,170.0,0.00K,-1.39%,Rotterdam Coal
01/23/2023,172.4,172.0,172.0,172.0,0.02K,-1.18%,Rotterdam Coal
01/20/2023,174.45,174.45,174.45,174.45,,-0.31%,Rotterdam Coal
01/19/2023,175.0,174.5,174.5,173.0,0.03K,0.00%,Rotterdam Coal
01/18/2023,175.0,176.0,176.0,176.0,0.00K,2.94%,Rotterdam Coal
01/17/2023,170.0,167.0,172.0,167.0,0.02K,1.19%,Rotterdam Coal
01/16/2023,168.0,168.0,168.0,168.0,0.04K,-0.59%,Rotterdam Coal
01/13/2023,169.0,169.0,169.0,169.0,,-2.14%,Rotterdam Coal
01/12/2023,172.7,170.0,170.0,170.0,0.02K,4.67%,Rotterdam Coal
01/11/2023,165.0,165.0,165.0,165.0,0.07K,-4.13%,Rotterdam Coal
01/10/2023,172.1,172.0,172.25,172.0,0.15K,-0.29%,Rotterdam Coal
01/09/2023,172.6,172.6,172.6,172.6,0.04K,0.17%,Rotterdam Coal
01/06/2023,172.3,172.3,172.3,172.3,0.03K,-3.07%,Rotterdam Coal
01/05/2023,177.75,177.75,177.75,177.75,0.13K,-0.56%,Rotterdam Coal
01/04/2023,178.75,182.0,182.0,182.0,0.05K,-4.54%,Rotterdam Coal
01/03/2023,187.25,187.0,189.0,185.0,0.18K,-18.00%,Rotterdam Coal
12/30/2022,228.35,187.5,187.5,187.5,,0.22%,Rotterdam Coal
12/29/2022,227.85,227.85,227.85,227.85,,0.22%,Rotterdam Coal
12/28/2022,227.35,227.35,227.35,227.35,,1.79%,Rotterdam Coal
12/27/2022,223.35,223.35,223.35,223.35,,-2.34%,Rotterdam Coal
12/23/2022,228.7,228.7,228.7,228.7,,-0.35%,Rotterdam Coal
12/22/2022,229.5,230.0,230.0,230.0,0.00K,0.66%,Rotterdam Coal
12/21/2022,228.0,228.0,228.0,228.0,0.00K,-1.06%,Rotterdam Coal
12/20/2022,230.45,233.95,233.95,233.95,0.00K,-0.02%,Rotterdam Coal
12/19/2022,230.5,230.5,230.5,230.5,,-1.58%,Rotterdam Coal
12/16/2022,234.2,234.2,234.2,234.2,0.01K,-2.42%,Rotterdam Coal
12/15/2022,240.0,240.0,240.0,240.0,,-0.25%,Rotterdam Coal
12/14/2022,240.6,240.6,240.6,240.6,0.09K,-2.59%,Rotterdam Coal
12/13/2022,247.0,247.0,247.0,247.0,,-1.30%,Rotterdam Coal
12/12/2022,250.25,261.0,261.0,259.0,0.01K,-4.08%,Rotterdam Coal
12/09/2022,260.9,258.0,261.0,252.0,0.03K,1.72%,Rotterdam Coal
12/08/2022,256.5,256.5,256.5,256.5,0.04K,-2.58%,Rotterdam Coal
12/07/2022,263.3,263.3,263.3,263.3,0.01K,-1.26%,Rotterdam Coal
12/06/2022,266.65,266.65,266.65,266.65,0.03K,1.68%,Rotterdam Coal
12/05/2022,262.25,262.25,262.25,262.25,0.08K,-1.78%,Rotterdam Coal
12/02/2022,267.0,268.0,268.0,268.0,0.00K,0.38%,Rotterdam Coal
12/01/2022,266.0,269.0,281.5,265.0,0.00K,-4.66%,Rotterdam Coal
11/30/2022,279.0,256.0,275.0,256.0,0.03K,7.31%,Rotterdam Coal
11/29/2022,260.0,256.0,260.0,256.0,0.19K,4.42%,Rotterdam Coal
11/28/2022,249.0,243.0,250.0,240.75,0.03K,15.98%,Rotterdam Coal
11/25/2022,214.7,240.0,240.0,240.0,,0.42%,Rotterdam Coal
11/24/2022,213.8,213.8,213.8,213.8,,-0.05%,Rotterdam Coal
11/23/2022,213.9,213.9,213.9,213.9,,0.42%,Rotterdam Coal
11/22/2022,213.0,213.0,213.0,213.0,,-1.48%,Rotterdam Coal
11/21/2022,216.2,216.2,216.2,216.2,,4.12%,Rotterdam Coal
11/18/2022,207.65,207.65,207.65,207.65,,2.80%,Rotterdam Coal
11/17/2022,202.0,202.0,202.0,202.0,0.02K,2.54%,Rotterdam Coal
11/16/2022,197.0,200.0,200.0,200.0,0.02K,-3.19%,Rotterdam Coal
11/15/2022,203.5,200.0,203.0,200.0,0.01K,4.90%,Rotterdam Coal
11/14/2022,194.0,194.0,194.0,194.0,,1.81%,Rotterdam Coal
11/11/2022,190.55,190.55,190.55,190.55,,-0.05%,Rotterdam Coal
11/10/2022,190.65,190.65,190.65,190.65,,0.98%,Rotterdam Coal
11/09/2022,188.8,188.8,188.8,188.8,,-1.41%,Rotterdam Coal
11/08/2022,191.5,191.5,191.5,191.5,0.10K,-4.68%,Rotterdam Coal
11/07/2022,200.9,210.0,210.0,205.0,0.05K,-6.99%,Rotterdam Coal
11/04/2022,216.0,216.0,216.0,216.0,0.06K,-2.26%,Rotterdam Coal
11/03/2022,221.0,220.0,220.0,220.0,0.03K,-3.70%,Rotterdam Coal
11/02/2022,229.5,230.0,230.0,229.0,0.07K,1.95%,Rotterdam Coal
11/01/2022,225.1,222.0,229.0,222.0,0.09K,2.67%,Rotterdam Coal
10/31/2022,219.25,230.0,234.0,215.0,0.20K,-20.32%,Rotterdam Coal
10/28/2022,275.15,242.0,242.0,242.0,0.00K,2.71%,Rotterdam Coal
10/27/2022,267.9,267.9,267.9,267.9,,-0.45%,Rotterdam Coal
10/26/2022,269.1,269.1,269.1,269.1,,-0.35%,Rotterdam Coal
10/25/2022,270.05,270.05,270.05,270.05,0.00K,0.19%,Rotterdam Coal
10/24/2022,269.55,269.55,269.55,269.55,,-0.17%,Rotterdam Coal
10/21/2022,270.0,270.0,270.0,270.0,0.03K,0.00%,Rotterdam Coal
10/20/2022,270.0,270.0,270.0,270.0,0.06K,0.75%,Rotterdam Coal
10/19/2022,268.0,269.0,269.0,268.0,0.12K,0.37%,Rotterdam Coal
10/18/2022,267.0,267.0,267.0,263.0,0.04K,-1.29%,Rotterdam Coal
10/17/2022,270.5,270.5,270.5,270.5,0.09K,-1.28%,Rotterdam Coal
10/14/2022,274.0,277.0,277.0,277.0,0.00K,0.55%,Rotterdam Coal
10/13/2022,272.5,284.0,284.0,284.0,0.01K,-2.71%,Rotterdam Coal
10/12/2022,280.1,274.0,282.5,274.0,0.03K,5.36%,Rotterdam Coal
10/11/2022,265.85,258.5,268.0,258.5,0.18K,1.47%,Rotterdam Coal
10/10/2022,262.0,263.0,263.0,263.0,0.01K,0.15%,Rotterdam Coal
10/07/2022,261.6,262.0,262.0,262.0,0.07K,-2.33%,Rotterdam Coal
10/06/2022,267.85,288.0,288.0,272.5,0.04K,-9.00%,Rotterdam Coal
10/05/2022,294.35,297.5,297.5,291.0,0.06K,-2.21%,Rotterdam Coal
10/04/2022,301.0,308.35,308.35,302.15,0.17K,-8.37%,Rotterdam Coal
09/30/2022,328.5,328.75,328.75,328.75,0.01K,0.11%,Rotterdam Coal
09/29/2022,328.15,328.15,328.15,328.15,,0.00%,Rotterdam Coal
09/28/2022,328.15,328.15,328.15,328.15,,0.78%,Rotterdam Coal
09/27/2022,325.6,324.5,324.5,324.5,0.00K,-0.05%,Rotterdam Coal
09/26/2022,325.75,327.0,327.0,324.0,0.01K,0.65%,Rotterdam Coal
09/22/2022,323.65,322.0,322.0,322.0,0.01K,-0.12%,Rotterdam Coal
09/21/2022,324.05,324.05,324.05,324.05,,0.12%,Rotterdam Coal
09/20/2022,323.65,323.65,323.65,323.65,,-3.17%,Rotterdam Coal
09/19/2022,334.25,334.25,334.25,334.25,,0.98%,Rotterdam Coal
09/16/2022,331.0,334.0,334.0,331.0,0.00K,-1.84%,Rotterdam Coal
09/15/2022,337.2,340.0,340.0,340.0,0.00K,0.36%,Rotterdam Coal
09/14/2022,336.0,340.0,340.0,340.0,0.02K,0.00%,Rotterdam Coal
09/13/2022,336.0,335.0,336.0,335.0,0.00K,2.13%,Rotterdam Coal
09/12/2022,329.0,329.0,330.0,329.0,0.00K,-2.37%,Rotterdam Coal
09/09/2022,337.0,332.0,340.0,332.0,0.01K,-1.17%,Rotterdam Coal
09/08/2022,341.0,355.0,355.0,341.5,0.01K,-6.07%,Rotterdam Coal
09/07/2022,363.05,375.0,375.0,375.0,0.05K,-4.46%,Rotterdam Coal
09/06/2022,380.0,390.0,390.0,380.0,0.04K,-3.18%,Rotterdam Coal
09/05/2022,392.5,395.0,400.0,394.0,0.03K,4.39%,Rotterdam Coal
09/02/2022,376.0,376.0,376.0,376.0,0.05K,1.55%,Rotterdam Coal
09/01/2022,370.25,370.0,370.75,367.5,0.03K,0.89%,Rotterdam Coal
08/31/2022,367.0,360.0,365.0,360.0,0.02K,0.34%,Rotterdam Coal
