Date,Price,Open,High,Low,Vol.,Change %,Type
03/01/2023,141.0,137.8,141.1,137.4,1.42K,+3.52%,Rubber TSR20
02/28/2023,136.2,135.4,136.4,135.3,0.20K,+0.81%,Rubber TSR20
02/27/2023,135.1,137.0,137.0,134.5,0.68K,-1.75%,Rubber TSR20
02/24/2023,137.5,139.9,139.9,137.4,1.08K,-1.50%,Rubber TSR20
02/23/2023,139.6,140.9,141.4,139.1,0.98K,0.00%,Rubber TSR20
02/22/2023,139.6,139.2,140.2,139.0,1.34K,-0.21%,Rubber TSR20
02/21/2023,139.9,140.2,140.9,139.6,1.13K,+0.43%,Rubber TSR20
02/20/2023,139.3,137.4,140.0,137.4,1.25K,+1.38%,Rubber TSR20
02/17/2023,137.4,139.1,139.1,137.2,0.49K,-0.43%,Rubber TSR20
02/16/2023,138.0,137.8,138.6,137.8,0.62K,+0.29%,Rubber TSR20
02/15/2023,137.6,138.2,138.8,137.4,0.97K,-0.07%,Rubber TSR20
02/14/2023,137.7,138.0,138.9,137.6,0.87K,+0.51%,Rubber TSR20
02/13/2023,137.0,136.5,137.3,136.4,0.79K,-0.36%,Rubber TSR20
02/10/2023,137.5,138.5,138.9,136.5,1.10K,-0.94%,Rubber TSR20
02/09/2023,138.8,138.6,139.7,138.5,0.96K,-0.07%,Rubber TSR20
02/08/2023,138.9,139.1,141.7,138.6,1.32K,-0.57%,Rubber TSR20
02/07/2023,139.7,139.6,140.9,139.0,0.92K,-0.64%,Rubber TSR20
02/06/2023,140.6,139.2,141.0,138.7,1.20K,0.00%,Rubber TSR20
02/03/2023,140.6,141.2,141.2,139.4,1.29K,-0.78%,Rubber TSR20
02/02/2023,141.7,142.4,142.9,141.2,1.21K,-1.60%,Rubber TSR20
02/01/2023,144.0,146.7,146.9,142.6,1.57K,-0.62%,Rubber TSR20
01/31/2023,144.9,143.8,144.9,143.4,0.03K,0.28%,Rubber TSR20
01/30/2023,144.5,146.5,146.5,143.4,0.32K,-0.89%,Rubber TSR20
01/27/2023,145.8,146.3,146.5,145.6,0.20K,-0.41%,Rubber TSR20
01/26/2023,146.4,146.1,147.5,146.0,0.48K,0.34%,Rubber TSR20
01/25/2023,145.9,143.5,146.5,143.0,0.49K,2.67%,Rubber TSR20
01/20/2023,142.1,140.6,143.0,140.6,0.37K,0.57%,Rubber TSR20
01/19/2023,141.3,141.4,141.7,140.9,0.22K,-0.98%,Rubber TSR20
01/18/2023,142.7,142.8,143.7,142.2,1.04K,1.06%,Rubber TSR20
01/17/2023,141.2,139.4,141.6,139.4,0.55K,3.22%,Rubber TSR20
01/16/2023,136.8,137.1,137.9,136.5,0.40K,0.00%,Rubber TSR20
01/13/2023,136.8,136.5,137.3,136.4,0.44K,0.81%,Rubber TSR20
01/12/2023,135.7,135.2,136.0,135.0,0.32K,-0.15%,Rubber TSR20
01/11/2023,135.9,134.5,136.8,134.5,0.51K,1.04%,Rubber TSR20
01/10/2023,134.5,134.4,134.7,133.6,1.36K,0.30%,Rubber TSR20
01/09/2023,134.1,133.2,134.3,132.4,1.78K,1.21%,Rubber TSR20
01/06/2023,132.5,132.0,132.6,131.5,1.12K,-0.82%,Rubber TSR20
01/05/2023,133.6,131.5,134.0,131.5,1.32K,0.07%,Rubber TSR20
01/04/2023,133.5,132.2,134.0,132.2,0.91K,0.75%,Rubber TSR20
01/03/2023,132.5,130.6,133.5,129.3,1.07K,1.77%,Rubber TSR20
12/30/2022,130.2,129.0,132.0,127.5,0.35K,1.17%,Rubber TSR20
12/29/2022,128.7,128.0,129.5,127.0,0.39K,-0.23%,Rubber TSR20
12/28/2022,129.0,128.0,129.6,128.0,0.26K,0.39%,Rubber TSR20
12/27/2022,128.5,129.3,129.4,122.0,0.81K,0.78%,Rubber TSR20
12/23/2022,127.5,129.1,129.1,126.3,0.40K,-1.24%,Rubber TSR20
12/22/2022,129.1,131.3,131.6,128.7,1.29K,-2.20%,Rubber TSR20
12/21/2022,132.0,135.0,135.0,131.4,0.73K,0.08%,Rubber TSR20
12/20/2022,131.9,134.3,134.4,131.5,1.46K,-2.37%,Rubber TSR20
12/19/2022,135.1,137.3,137.4,134.7,0.77K,-1.60%,Rubber TSR20
12/16/2022,137.3,137.9,138.5,137.2,0.47K,0.66%,Rubber TSR20
12/15/2022,136.4,138.9,138.9,136.2,0.52K,-1.94%,Rubber TSR20
12/14/2022,139.1,139.3,139.3,138.5,0.47K,1.53%,Rubber TSR20
12/13/2022,137.0,135.6,137.2,135.4,0.40K,0.51%,Rubber TSR20
12/12/2022,136.3,139.5,139.7,136.1,0.80K,-2.08%,Rubber TSR20
12/09/2022,139.2,139.0,139.5,138.8,0.48K,0.65%,Rubber TSR20
12/08/2022,138.3,135.3,138.8,135.3,1.12K,1.17%,Rubber TSR20
12/07/2022,136.7,137.4,137.9,136.4,1.19K,0.51%,Rubber TSR20
12/06/2022,136.0,135.5,136.3,134.9,1.27K,-0.15%,Rubber TSR20
12/05/2022,136.2,135.6,136.5,134.6,0.82K,1.11%,Rubber TSR20
12/02/2022,134.7,132.4,134.9,132.0,1.04K,1.43%,Rubber TSR20
12/01/2022,132.8,132.5,134.3,132.2,1.96K,3.19%,Rubber TSR20
11/30/2022,128.7,129.9,129.9,128.4,0.16K,0.94%,Rubber TSR20
11/29/2022,127.5,127.5,128.8,126.9,0.25K,1.11%,Rubber TSR20
11/28/2022,126.1,127.0,129.0,126.0,0.51K,0.00%,Rubber TSR20
11/25/2022,126.1,127.3,127.3,125.2,0.32K,-0.47%,Rubber TSR20
11/24/2022,126.7,127.6,127.6,126.0,0.36K,-0.31%,Rubber TSR20
11/23/2022,127.1,127.6,127.7,126.4,0.52K,0.32%,Rubber TSR20
11/22/2022,126.7,126.3,127.5,126.3,0.59K,3.01%,Rubber TSR20
11/21/2022,123.0,126.9,127.2,122.7,0.77K,-4.43%,Rubber TSR20
11/18/2022,128.7,129.2,129.4,128.3,0.85K,-0.62%,Rubber TSR20
11/17/2022,129.5,128.8,130.0,128.5,0.89K,-0.23%,Rubber TSR20
11/16/2022,129.8,130.6,130.6,128.5,0.77K,-0.84%,Rubber TSR20
11/15/2022,130.9,131.7,132.0,129.9,0.45K,0.61%,Rubber TSR20
11/14/2022,130.1,129.3,130.7,128.5,0.56K,0.93%,Rubber TSR20
11/11/2022,128.9,125.4,129.1,125.1,1.46K,3.37%,Rubber TSR20
11/10/2022,124.7,124.1,127.0,124.1,1.52K,-2.35%,Rubber TSR20
11/09/2022,127.7,129.0,129.1,127.3,1.68K,-0.78%,Rubber TSR20
11/08/2022,128.7,127.5,129.3,127.5,1.15K,1.58%,Rubber TSR20
11/07/2022,126.7,126.3,126.9,125.0,2.04K,1.44%,Rubber TSR20
11/04/2022,124.9,121.1,125.3,121.1,1.99K,2.97%,Rubber TSR20
11/03/2022,121.3,121.6,121.9,120.5,1.03K,0.00%,Rubber TSR20
11/02/2022,121.3,120.2,122.0,119.0,1.64K,1.08%,Rubber TSR20
11/01/2022,120.0,116.4,120.7,116.4,1.97K,4.26%,Rubber TSR20
10/31/2022,115.1,117.5,117.5,117.5,0.01K,-1.88%,Rubber TSR20
10/28/2022,117.3,121.2,121.6,117.2,0.37K,-3.93%,Rubber TSR20
10/27/2022,122.1,123.0,123.1,120.6,0.26K,-0.16%,Rubber TSR20
10/26/2022,122.3,123.5,123.5,121.0,0.25K,-0.65%,Rubber TSR20
10/25/2022,123.1,123.8,124.7,115.0,0.68K,-1.36%,Rubber TSR20
10/21/2022,124.8,126.6,127.0,124.5,0.78K,-0.87%,Rubber TSR20
10/20/2022,125.9,127.5,127.8,125.6,0.51K,-2.48%,Rubber TSR20
10/19/2022,129.1,130.5,131.4,129.0,0.30K,-0.62%,Rubber TSR20
10/18/2022,129.9,131.5,131.9,129.5,0.65K,-1.14%,Rubber TSR20
10/17/2022,131.4,132.6,132.7,130.9,0.53K,-0.83%,Rubber TSR20
10/14/2022,132.5,132.3,132.7,131.5,0.65K,0.68%,Rubber TSR20
10/13/2022,131.6,133.1,133.2,131.4,0.64K,-1.20%,Rubber TSR20
10/12/2022,133.2,133.2,133.8,132.9,0.42K,-0.82%,Rubber TSR20
10/11/2022,134.3,135.6,135.6,133.6,0.69K,-1.40%,Rubber TSR20
10/10/2022,136.2,139.9,140.4,135.1,1.55K,-1.23%,Rubber TSR20
10/07/2022,137.9,137.9,138.0,137.6,0.36K,0.15%,Rubber TSR20
10/06/2022,137.7,136.0,137.9,135.8,0.86K,1.62%,Rubber TSR20
10/05/2022,135.5,135.0,135.8,135.0,0.55K,0.30%,Rubber TSR20
10/04/2022,135.1,135.1,135.3,134.9,0.50K,0.22%,Rubber TSR20
10/03/2022,134.8,134.6,135.3,133.7,0.80K,-0.07%,Rubber TSR20
09/30/2022,134.9,132.6,135.1,132.6,0.04K,0.60%,Rubber TSR20
09/29/2022,134.1,132.5,134.3,132.2,0.21K,1.28%,Rubber TSR20
09/28/2022,132.4,134.2,134.5,132.0,0.42K,-1.49%,Rubber TSR20
09/27/2022,134.4,133.0,135.0,132.8,0.63K,1.74%,Rubber TSR20
09/26/2022,132.1,133.2,133.2,131.0,0.52K,-0.90%,Rubber TSR20
09/23/2022,133.3,133.8,134.2,132.5,0.49K,-0.37%,Rubber TSR20
09/22/2022,133.8,134.4,134.5,133.1,0.45K,-0.52%,Rubber TSR20
09/21/2022,134.5,133.0,135.0,132.7,1.01K,0.52%,Rubber TSR20
09/20/2022,133.8,132.7,135.3,132.7,0.44K,1.13%,Rubber TSR20
09/19/2022,132.3,133.1,135.0,131.8,0.68K,-1.34%,Rubber TSR20
09/16/2022,134.1,135.5,135.8,133.1,0.59K,-0.96%,Rubber TSR20
09/15/2022,135.4,135.5,136.2,134.8,0.59K,0.97%,Rubber TSR20
09/14/2022,134.1,134.4,134.5,132.4,0.61K,-0.89%,Rubber TSR20
09/13/2022,135.3,133.1,135.4,132.5,1.18K,1.81%,Rubber TSR20
09/12/2022,132.9,131.9,133.3,131.4,0.46K,1.14%,Rubber TSR20
09/09/2022,131.4,129.7,131.9,129.7,1.34K,0.54%,Rubber TSR20
09/08/2022,130.7,130.6,132.5,130.0,0.91K,1.00%,Rubber TSR20
