統計期,總計,汽車,大客車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大客車 /營業 /營業（不含遊覽車）,大貨車,大貨車 /自用,大貨車 /營業,小客車,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,小貨車 /營業 /營業（不含租賃）,特種車,警備車,救護車,消防車,郵車,其他,機車,機車重型,大型重型,大型重型550cc以上,大型重型未滿550cc,普通重型,機車輕型,小型輕型,普通輕型
93年 1月,79940,42540,175,7,168,,168,274,117,157,39090,38458,632,,632,,2952,2760,192,,192,49,5,,5,1,38,37400,29579,71,,,29508,7821,,
93年 2月,73584,24891,225,1,224,,224,375,124,251,21329,20961,368,,368,,2905,2735,170,,170,57,1,,3,,53,48693,38391,96,,,38295,10302,,
93年 3月,81716,32235,144,1,143,,143,521,221,300,27929,27395,534,,534,,3558,3344,214,,214,83,4,,15,,64,49481,40686,98,,,40588,8795,,
93年 4月,77325,30194,173,3,170,,170,440,189,251,25823,25317,506,,506,,3595,3264,331,,331,163,28,,7,,128,47131,38077,132,,,37945,9054,,
93年 5月,76061,26888,92,3,89,,89,525,214,311,23099,22595,504,,504,,3092,2788,304,,304,80,1,,9,,70,49173,41122,132,,,40990,8051,,
93年 6月,89014,32151,252,8,244,,244,523,237,286,28169,27591,578,,578,,3104,2836,268,,268,103,19,,6,,78,56863,48072,114,,,47958,8791,,
93年 7月,92664,36818,91,2,89,,89,554,208,346,32581,31768,813,,813,,3436,3110,326,,326,156,29,,3,,124,55846,48042,105,,,47937,7804,,
93年 8月,80764,25215,41,5,36,,36,541,180,361,22098,21641,457,,457,,2440,2183,257,,257,95,2,,13,,80,55549,48970,128,,,48842,6579,,
93年 9月,95249,23340,41,3,38,,38,485,186,299,19912,19491,421,,421,,2804,2522,282,,282,98,,,11,,87,71909,63246,119,,,63127,8663,,
93年 10月,81386,23213,44,8,36,,36,513,175,338,19988,19554,434,,434,,2529,2273,256,,256,139,6,,15,,118,58173,51388,154,,,51234,6785,,
