統計期,汽車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大貨車 /自用,大貨車 /營業,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,警備車,救護車,消防車,郵車,其他
90年 1月底,4574966,1887,13739,,72943,63308,3752254,60120,,60120,,564587,7121,,1332,,2006,1341,34328
90年 2月底,4587097,1872,13794,,72858,63169,3763266,59931,,59931,,566115,7161,,1326,,2004,1336,34265
90年 3月底,4600987,1850,13746,,73042,63178,3774415,59892,,59892,,568669,7226,,1317,,2002,1346,34304
90年 4月底,4603831,1839,13752,,72930,62915,3776283,59691,,59691,,570111,7285,,1312,,2012,1344,34357
90年 5月底,4618145,1827,13690,,72996,62817,3788017,59644,,59644,,572646,7352,,1305,,2013,1379,34459
90年 6月底,4630069,1817,13800,,73151,62741,3798144,59508,,59508,,574289,7415,,1315,,2029,1389,34471
90年 7月底,4641597,1802,13790,,73182,62639,3808220,59443,,59443,,575810,7464,,1310,,2025,1393,34519
90年 8月底,4653734,1803,13579,,73323,62653,3818480,59368,,59368,,577698,7531,,1352,,2038,1398,34511
90年 9月底,4661935,1794,13706,,73393,62646,3825067,59133,,59133,,579223,7590,,1435,,2038,1407,34503
90年 10月底,4664695,1789,13717,,73410,62429,3827259,58870,,58870,,580288,7636,,1450,,2035,1417,34395
90年 11月底,4674833,1781,13655,,73572,62390,3835258,58825,,58825,,582399,7638,,1452,,2050,1404,34409
90年 12月底,4671622,1768,13733,,73542,62293,3831675,58601,,58601,,583146,7574,,1450,,2061,1395,34384
91年 1月底,4692470,1688,13879,,73576,62241,3850022,58717,,58717,,585217,7613,,1442,,2074,1404,34597
91年 2月底,4703870,1686,13968,,73697,62260,3860112,58649,,58649,,586443,7623,,1435,,2075,1383,34539
91年 3月底,4704273,1669,14043,,73524,62093,3860396,58176,,58176,,587410,7609,,1425,,2071,1375,34482
91年 4月底,4713535,1661,14067,,73669,62208,3867492,57992,,57992,,589486,7657,,1427,,2066,1372,34438
91年 5月底,4729933,1651,14149,,73884,62174,3881026,57741,,57741,,592226,7651,,1421,,2072,1416,34522
91年 6月底,4744613,1643,14234,,74019,62320,3893526,57562,,57562,,594106,7726,,1451,,2077,1406,34543
91年 7月底,4767292,1633,14367,,73992,62395,3913255,57513,,57513,,596723,7755,,1509,,2070,1398,34682
91年 8月底,4780670,1620,14378,,74177,62415,3924528,57369,,57369,,598292,7765,,1555,,2097,1418,35056
91年 9月底,4796586,1617,14703,,74307,62395,3937976,57235,,57235,,600415,7798,,1553,,2095,1421,35071
91年 10月底,4814503,1613,14810,,74465,62320,3953308,57054,,57054,,602969,7820,,1550,,2100,1419,35075
91年 11月底,4831421,1616,14957,,74576,62322,3967702,56847,,56847,,605455,7823,,1547,,2098,1413,35065
91年 12月底,4849161,1600,15137,,74577,62276,3982556,56644,,56644,,608421,7803,,1540,,2107,1422,35078
92年 1月底,4872593,1584,15371,,74763,62193,4004121,56586,,56586,,610061,7803,,1528,,2108,1417,35058
92年 2月底,4880073,1583,15426,,74690,62197,4010619,56399,,56399,,611238,7814,,1523,,2116,1417,35051
92年 3月底,4891968,1574,15475,,74745,62136,4020574,56121,,56121,,613385,7865,,1519,,2125,1426,35023
92年 4月底,4904194,1568,15498,,74740,62118,4030117,55817,,55817,,616339,7857,,1534,,2131,1413,35062
92年 5月底,4923114,1569,15632,,74950,62167,4045586,55668,,55668,,619393,7981,,1535,,2129,1408,35096
92年 6月底,4940833,1564,15647,,75168,62134,4060824,55503,,55503,,621729,8006,,1548,,2127,1404,35179
92年 7月底,4962552,1559,15775,,75208,62142,4080093,55386,,55386,,624010,8055,,1555,,2124,1396,35249
92年 8月底,4974832,1555,15892,,75304,62225,4090288,55342,,55342,,625659,8071,,1541,,2127,1500,35328
92年 9月底,4989792,1550,15928,,75391,62210,4103327,55188,,55188,,627518,8145,,1523,,2152,1487,35373
92年 10月底,5009806,1535,15840,,75516,62223,4120703,55135,,55135,,630038,8204,,1504,,2135,1484,35489
92年 11月底,5026937,1530,15826,,75598,62164,4136024,55037,,55037,,631947,8230,,1525,,2131,1480,35445
92年 12月底,5030425,1523,15920,,75768,62233,4138228,54855,,54855,,632857,8254,,1542,,2144,1472,35629
93年 1月底,5057297,1519,15990,,75858,62269,4163250,54959,,54959,,634420,8258,,1536,,2140,1464,35634
93年 2月底,5071424,1504,16137,,75892,62119,4175874,54830,,54830,,636228,8261,,1511,,2138,1460,35470
93年 3月底,5086028,1496,16272,,75959,62249,4187884,54775,,54775,,638641,8238,,1495,,2142,1453,35424
93年 4月底,5102980,1487,16343,,75965,62392,4201217,54670,,54670,,642032,8333,,1509,,2155,1447,35430
93年 5月底,5119058,1479,16405,,76219,62582,4214160,54578,,54578,,644629,8360,,1523,,2159,1446,35518
93年 6月底,5140051,1475,16543,,76435,62676,4232159,54473,,54473,,647186,8420,,1525,,2160,1435,35564
93年 7月底,5178077,1477,16620,,76717,62990,4265118,54623,,54623,,650930,8727,,1563,,2172,1457,35683
93年 8月底,5188480,1469,16466,,76853,63175,4274302,54530,,54530,,651905,8881,,1561,,2190,1469,35679
93年 9月底,5202689,1439,16423,,76927,63215,4278905,61789,,61789,,654064,9006,,1543,,2197,1524,35657
93年 10月底,5220898,1440,16464,,77072,63304,4294382,61744,,61744,,656369,9110,,1545,,2227,1533,35708
93年 11月底,5242534,1440,16502,,77347,63429,4313491,61651,,61651,,658480,9168,,1536,,2220,1507,35763
93年 12月底,5255128,1435,16562,,77508,63551,4325290,61472,,61472,,659079,9146,,1520,,2231,1509,35825
94年 1月底,5303706,1430,16666,6583,77737,63730,4369311,62217,8269,53948,,662253,9329,554,1515,,2223,1495,35800
94年 2月底,5314902,1425,16672,6614,77864,63776,4379006,62233,8422,53811,,663557,9302,556,1514,,2235,1492,35826
94年 3月底,5335056,1420,16716,6670,78054,64043,4395548,62307,8616,53691,,666487,9422,555,1503,,2240,1492,35824
94年 4月底,5352891,1422,16691,6673,78224,64296,4409555,62293,8712,53581,,669784,9494,560,1491,,2229,1491,35921
94年 5月底,5374388,1410,16791,6784,78498,64384,4427729,62319,8834,53485,,672445,9597,554,1498,,2238,1490,35989
94年 6月底,5397466,1395,16832,6802,78731,64548,4447874,62334,8924,53410,,674967,9660,599,1488,,2232,1488,35917
94年 7月底,5428414,1384,16852,6860,78823,64716,4475421,62631,9180,53451,,677615,9753,607,1503,,2232,1486,35998
94年 8月底,5435932,1386,16898,6899,78954,64712,4481791,62530,9269,53261,,678697,9838,619,1499,,2231,1485,35911
94年 9月底,5457095,1381,17006,6984,79093,64810,4499873,62526,9369,53157,,681374,9887,632,1499,,2233,1486,35927
94年 10月底,5468107,1375,17115,7049,79294,64787,4508744,62558,9446,53112,,683120,9941,649,1509,,2230,1498,35936
94年 11月底,5480090,1375,17191,7098,79449,64837,4519114,62606,9540,53066,,684347,9894,652,1497,,2229,1587,35964
94年 12月底,5497131,1372,17233,7120,79712,64811,4535019,62793,9634,53159,,685059,9871,647,1498,,2231,1543,35989
95年 1月底,5521388,1374,17350,7235,79778,64835,4557196,63073,9808,53265,,686574,9977,667,1495,,2228,1537,35971
