變數名稱,變數內容,問題屬性,數值內容
調查年度,char(3),開放題,
半年註記,tinyint,開放題,請參閱A28~B29
,,,
,,,
地區別,char(2) ,開放題,請參閱A32~B35
,,,
商品編號,char(3),開放題,請參閱A38~B150
,,,
裝貨地點,char(4),開放題,請參閱A153~B510
,,,
卸貨地點,char(4),開放題,請參閱A153~B510
,,,
單程區間公里數,integer,開放題,
行車次數,integer,開放題,
載貨重量,numeric,開放題,
運費,integer,開放題,
商品來源別,integer,開放題,請參閱A513~B516
,,,
10呎貨櫃數,integer,開放題,
20呎貨櫃數,integer,開放題,
35呎貨櫃數,integer,開放題,
40呎貨櫃數,integer,開放題,
其他呎數貨櫃數,integer,開放題,
貨櫃當量,numeric,開放題,
平均每公升可行駛里程數,,開放題,請參閱A521~B530
載送低溫商品車輛數,,開放題,
靠行車車輛數,,開放題,
,,,
半年註記數值,內容,,
1,上半年,,
2,下半年,,
,,,
地區別數值,內容,,
N,北部地區,,
C,中部地區,,
S,南部地區,,
E,東部地區,,
,,,
商品編號數值,內容,,
299,空車,,
1,稻穀,,
2,雜糧農作物,,
3,特用作物,,
4,蔬菜,,
5,水果,,
6,其他園藝作物,,
7,豬,,
8,其他禽畜產,,
9,林產,,
10,漁產,,
11,原油,,
12,砂、石、黏土及其他礦產,,
13,屠宰生肉及副產品,,
14,肉類加工及保藏品,,
15,水產加工及保藏品,,
16,蔬果加工及保藏品,,
17,動植物油脂及副產品,,
18,乳製品,,
19,米,,
20,製粉,,
21,飼料,,
22,巧克力、糖果及烘焙炊蒸食品,,
23,糖,,
24,調味品,,
25,其他食品,,
26,酒精飲料,,
27,非酒精飲料,,
28,菸,,
29,棉、毛、絲麻及其織布,,
30,人造纖維及玻璃纖維紡織品,,
31,針織布,,
32,不織布,,
33,其他紡織品,,
34,成衣,,
35,紡織服飾品,,
36,皮革,,
37,鞋類製品,,
38,其他皮革製品,,
39,製材,,
40,合板及組合木材,,
41,木竹籐製品,,
42,紙漿及紙,,
43,紙製品,,
44,印刷,,
45,石油煉製品,,
46,焦炭及其他煤製品,,
47,基本化學材料,,
48,石油化工原料,,
49,肥料及氮化合物,,
50,塑膠(合成樹脂),,
51,合成橡膠,,
52,合成纖維,,
53,其他人造纖維,,
54,農藥及環境用藥,,
55,塗料、染料及顏料,,
56,清潔用品及化粧品,,
57,其他化學製品,,
58,醫療藥品,,
59,橡膠製品,,
60,塑膠製品,,
61,玻璃及其製品,,
62,陶瓷製品,,
63,水泥,,
64,水泥製品,,
65,其他非金屬礦物製品,,
66,生鐵及粗鋼,,
67,鋼鐵初級製品,,
68,鋁,,
69,其他金屬,,
70,金屬刀具、手工具及模具,,
71,金屬結構及建築組件,,
72,金屬容器,,
73,其他金屬製品,,
74,半導體,,
75,被動電子元件,,
76,印刷電路板,,
77,光電材料及元件,,
78,其他電子零組件,,
79,電腦產品,,
80,電腦週邊設備,,
81,通訊傳播設備,,
82,視聽電子產品,,
83,空白資料儲存媒體,,
84,量測、導航、控制設備及鐘錶,,
85,幅射及電子醫學設備、光學儀器,,
86,發電、輸電及配電設備,,
87,電池,,
88,電線、電纜及配線器材,,
89,照明設備,,
90,家用電器,,
91,其他電力設備,,
92,金屬加工用機械設備,,
93,其他專用機械設備,,
94,通用機械設備,,
95,汽車,,
96,船舶,,
97,機車,,
98,自行車,,
99,其他運輸工具,,
100,非金屬家具,,
101,金屬家具,,
102,育樂用品,,
103,其他製品,,
104,燃氣,,
105,自來水,,
106,廢水及污水處理,,
107,廢棄物清除、處理,,
108,資源回收處理,,
109,出版品,,
110,影片及音樂出版品,,
201,貨櫃貨,,
200,空貨櫃,,
,,,
裝卸貨地點數值,內容,,
201,宜蘭縣宜蘭市,,
202,宜蘭縣羅東鎮,,
203,宜蘭縣蘇澳鎮,,
204,宜蘭縣頭城鎮,,
205,宜蘭縣礁溪鄉,,
206,宜蘭縣壯圍鄉,,
207,宜蘭縣員山鄉,,
208,宜蘭縣冬山鄉,,
209,宜蘭縣五結鄉,,
210,宜蘭縣三星鄉,,
211,宜蘭縣大同鄉,,
212,宜蘭縣南澳鄉,,
6801,桃園市桃園區,,
6802,桃園市中壢區,,
6803,桃園市大溪區,,
6804,桃園市楊梅區,,
6805,桃園市蘆竹區,,
6806,桃園市大園區,,
6807,桃園市龜山區,,
6808,桃園市八德區,,
6809,桃園市龍潭區,,
6810,桃園市平鎮區,,
6811,桃園市新屋區,,
6812,桃園市觀音區,,
6813,桃園市復興區,,
401,新竹縣竹北市,,
402,新竹縣竹東鎮,,
403,新竹縣新埔鎮,,
404,新竹縣關西鎮,,
405,新竹縣湖口鄉,,
406,新竹縣新豐鄉,,
407,新竹縣芎林鄉,,
408,新竹縣橫山鄉,,
409,新竹縣北埔鄉,,
410,新竹縣寶山鄉,,
411,新竹縣峨眉鄉,,
412,新竹縣尖石鄉,,
413,新竹縣五峰鄉,,
501,苗栗縣苗栗市,,
502,苗栗縣苑裡鎮,,
503,苗栗縣通宵鎮,,
504,苗栗縣竹南鎮,,
505,苗栗縣頭份鎮,,
506,苗栗縣後龍鎮,,
507,苗栗縣卓蘭鎮,,
508,苗栗縣大湖鄉,,
509,苗栗縣公館鄉,,
510,苗栗縣銅鑼鄉,,
511,苗栗縣南庄鄉,,
512,苗栗縣頭屋鄉,,
513,苗栗縣三義鄉,,
514,苗栗縣西湖鄉,,
515,苗栗縣造橋鄉,,
516,苗栗縣三灣鄉,,
517,苗栗縣獅潭鄉,,
518,苗栗縣泰安鄉,,
701,彰化縣彰化市,,
702,彰化縣鹿港鎮,,
703,彰化縣和美鎮,,
704,彰化縣線西鄉,,
705,彰化縣伸港鄉,,
706,彰化縣福興鄉,,
707,彰化縣秀水鄉,,
708,彰化縣花壇鄉,,
709,彰化縣芬園鄉,,
710,彰化縣員林鎮,,
711,彰化縣溪湖鎮,,
712,彰化縣田中鎮,,
713,彰化縣大村鄉,,
714,彰化縣埔鹽鄉,,
715,彰化縣埔心鄉,,
716,彰化縣永靖鄉,,
717,彰化縣社頭鄉,,
718,彰化縣二水鄉,,
719,彰化縣北斗鎮,,
720,彰化縣二林鎮,,
721,彰化縣田尾鄉,,
722,彰化縣埤頭鄉,,
723,彰化縣芳苑鄉,,
724,彰化縣大城鄉,,
725,彰化縣竹塘鄉,,
726,彰化縣溪州鄉,,
801,南投縣南投市,,
802,南投縣埔里鎮,,
803,南投縣草屯鎮,,
804,南投縣竹山鎮,,
805,南投縣集集鎮,,
806,南投縣名間鄉,,
807,南投縣鹿谷鄉,,
808,南投縣中寮鄉,,
809,南投縣魚池鄉,,
810,南投縣國姓鄉,,
811,南投縣水里鄉,,
812,南投縣信義鄉,,
813,南投縣仁愛鄉,,
901,雲林縣斗六市,,
902,雲林縣斗南鎮,,
903,雲林縣虎尾鎮,,
904,雲林縣西螺鎮,,
905,雲林縣土庫鎮,,
906,雲林縣北港鎮,,
907,雲林縣古坑鄉,,
908,雲林縣大埤鄉,,
909,雲林縣莿桐鄉,,
910,雲林縣林內鄉,,
911,雲林縣二崙鄉,,
912,雲林縣崙背鄉,,
913,雲林縣麥寮鄉,,
914,雲林縣東勢鄉,,
915,雲林縣褒忠鄉,,
916,雲林縣臺西鄉,,
917,雲林縣元長鄉,,
