MTP２,製品編碼,Channel,Customer Group,Description,Pattern,Qty,Year,Month
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,January
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,February
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,March
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,April
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,May
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,June
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,July
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,August
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,September
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,October
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,November
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2021,December
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,January
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,February
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,March
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,April
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,May
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,June
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,July
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,August
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,September
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,October
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,November
LSR2,300111593,REP,BSSC,205/75R17.5,R154,0,2022,December
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,January
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,February
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,March
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,April
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,May
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,June
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,July
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,August
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,September
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,October
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,November
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2021,December
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,January
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,February
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,March
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,April
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,May
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,June
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,July
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,August
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,September
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,October
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,November
LSR2,300111594,REP,BSSC,215/75R17.5,R154,0,2022,December
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,January
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,February
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,March
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,April
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,May
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,June
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,July
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,August
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,September
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,October
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,November
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2021,December
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,January
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,February
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,March
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,April
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,May
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,June
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,July
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,August
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,September
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,October
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,November
LSR2,300111595,REP,BSSC,225/75R17.5,R154,0,2022,December
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,January
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,February
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,March
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,April
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,May
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,June
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,July
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,August
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,September
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,October
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,November
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2021,December
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,January
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,February
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,March
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,April
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,May
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,June
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,July
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,August
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,September
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,October
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,November
LSR2,300111634,REP,BSSC,9.5R17.5,R154,0,2022,December
LSR2,LSR01180,REP,AG,7.50R16,R225,17,2021,January
LSR2,LSR01180,REP,AG,7.50R16,R225,6,2021,February
LSR2,LSR01180,REP,AG,7.50R16,R225,52,2021,March
LSR2,LSR01180,REP,AG,7.50R16,R225,24,2021,April
LSR2,LSR01180,REP,AG,7.50R16,R225,29,2021,May
LSR2,LSR01180,REP,AG,7.50R16,R225,29,2021,June
LSR2,LSR01180,REP,AG,7.50R16,R225,21,2021,July
LSR2,LSR01180,REP,AG,7.50R16,R225,21,2021,August
LSR2,LSR01180,REP,AG,7.50R16,R225,21,2021,September
LSR2,LSR01180,REP,AG,7.50R16,R225,22,2021,October
LSR2,LSR01180,REP,AG,7.50R16,R225,22,2021,November
LSR2,LSR01180,REP,AG,7.50R16,R225,19,2021,December
LSR2,LSR01180,REP,AG,7.50R16,R225,24,2022,January
LSR2,LSR01180,REP,AG,7.50R16,R225,19,2022,February
LSR2,LSR01180,REP,AG,7.50R16,R225,28,2022,March
LSR2,LSR01180,REP,AG,7.50R16,R225,23,2022,April
LSR2,LSR01180,REP,AG,7.50R16,R225,26,2022,May
LSR2,LSR01180,REP,AG,7.50R16,R225,28,2022,June
LSR2,LSR01180,REP,AG,7.50R16,R225,27,2022,July
LSR2,LSR01180,REP,AG,7.50R16,R225,30,2022,August
LSR2,LSR01180,REP,AG,7.50R16,R225,23,2022,September
LSR2,LSR01180,REP,AG,7.50R16,R225,23,2022,October
LSR2,LSR01180,REP,AG,7.50R16,R225,28,2022,November
LSR2,LSR01180,REP,AG,7.50R16,R225,20,2022,December
LSR2,LSR01180,REP,BSSC,7.50R16,R225,344,2021,January
LSR2,LSR01180,REP,BSSC,7.50R16,R225,197,2021,February
LSR2,LSR01180,REP,BSSC,7.50R16,R225,540,2021,March
LSR2,LSR01180,REP,BSSC,7.50R16,R225,350,2021,April
LSR2,LSR01180,REP,BSSC,7.50R16,R225,375,2021,May
LSR2,LSR01180,REP,BSSC,7.50R16,R225,351,2021,June
LSR2,LSR01180,REP,BSSC,7.50R16,R225,417,2021,July
LSR2,LSR01180,REP,BSSC,7.50R16,R225,423,2021,August
LSR2,LSR01180,REP,BSSC,7.50R16,R225,425,2021,September
LSR2,LSR01180,REP,BSSC,7.50R16,R225,429,2021,October
LSR2,LSR01180,REP,BSSC,7.50R16,R225,431,2021,November
LSR2,LSR01180,REP,BSSC,7.50R16,R225,385,2021,December
LSR2,LSR01180,REP,BSSC,7.50R16,R225,418,2022,January
LSR2,LSR01180,REP,BSSC,7.50R16,R225,332,2022,February
LSR2,LSR01180,REP,BSSC,7.50R16,R225,494,2022,March
LSR2,LSR01180,REP,BSSC,7.50R16,R225,402,2022,April
LSR2,LSR01180,REP,BSSC,7.50R16,R225,466,2022,May
LSR2,LSR01180,REP,BSSC,7.50R16,R225,496,2022,June
LSR2,LSR01180,REP,BSSC,7.50R16,R225,472,2022,July
LSR2,LSR01180,REP,BSSC,7.50R16,R225,538,2022,August
