客戶代號,客戶,大通路,大分類,小通路,區域,營業所
E1E10138,三和輪業有限公司(久揚),BSSC,BSSC,BFP,"北區_x000D_
",北區
C1B10329,五七輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10150,文建輪胎行(佶建),BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10276,日亨輪胎有限公司,BSSC,BSSC,BFP,"北區_x000D_
",北區
C2A10239,協助輪胎有限公司,BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10120,協泰輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
C1C10413,勇和實業有限公司,BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10636,耐吉輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
C2B10875,健國有限公司,BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10064,章化輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
C2A10568,華聯輪胎股份有限公司,BSSC,BSSC,TTC,"北區_x000D_
",北區
C2B10766,萬里達輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
C2A10526,寬圍輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10333,歐珂輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
C2B10223,豐車實業有限公司,BSSC,BSSC,BFP,"北區_x000D_
",北區
E1E10433,文鹿汽車有限公司(穩路),BSSC,BSSC,BFP,"北區_x000D_
",北區
C2A10084,麒駪,BSSC,BSSC,BFP,"北區_x000D_
",北區
F1F10391,大順輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
F1F10426,中華全佑有限公司,BSSC,BSSC,BFP,"北區_x000D_
",北區
F1F10470,宏達輪胎行(寬達) ,BSSC,BSSC,BFP,"北區_x000D_
",北區
F1F10346,東昇輪胎行,BSSC,BSSC,BFP,"北區_x000D_
",北區
F1F10435,聯碩輪業有限公司(精輪),BSSC,BSSC,BFP,"北區_x000D_
",北區
F1F10139,萬豐輪胎行,BSSC,BSSC,BFP,"台中_x000D_
",台中
F1F10451,協成輪胎行,BSSC,BSSC,BFP,"台中_x000D_
",台中
H0H1A027,台中輪胎館(世全、益全),BSSC,BSSC,BFP,"台中_x000D_
",台中
H0G1E028,永兆豐輪胎行,BSSC,BSSC,BFP,"台中_x000D_
",台南
H0G1B024,托福多輪胎有限公司,BSSC,BSSC,BFP,"台中_x000D_
",高雄
